x0,x1
0.567762,0.320226
0.568147,0.320656
0.56853,0.321076
0.568893,0.321506
0.569276,0.321946
0.569652,0.322366
0.570023,0.322806
0.570398,0.323231
0.570777,0.323651
0.571156,0.324091
0.571533,0.324511
0.57191,0.324951
0.572267,0.325371
0.572622,0.325791
0.573002,0.326211
0.573369,0.326636
0.573743,0.327058
0.574107,0.327468
0.574472,0.327898
0.574835,0.328329
0.575198,0.328753
0.575559,0.329177
0.575925,0.329596
0.576288,0.330015
0.576646,0.330437
0.57701,0.330857
0.577376,0.331277
0.577727,0.331689
0.578082,0.332109
0.578446,0.332529
0.578809,0.332949
0.579172,0.333349
0.579543,0.333769
0.579884,0.334189
0.580244,0.334609
0.580599,0.335029
0.580958,0.335444
0.581316,0.335864
0.581668,0.336264
0.582025,0.336664
0.582376,0.337084
0.582731,0.337504
0.583081,0.337924
0.583435,0.338334
0.583788,0.338754
0.584135,0.339154
0.584487,0.339564
0.584838,0.339964
0.585188,0.340379
0.585538,0.340799
0.585887,0.341219
0.586235,0.341619
0.586562,0.342039
0.586909,0.342439
0.587255,0.342839
0.587591,0.343239
0.587955,0.343659
0.5883,0.344079
0.588643,0.344484
0.588986,0.344884
0.589328,0.345284
0.589659,0.345684
0.59,0.346084
0.59034,0.346484
0.590679,0.346884
0.591023,0.347284
0.591361,0.347684
0.591703,0.348104
0.59206,0.348524
0.592396,0.348924
0.592731,0.349324
0.593085,0.349724
0.593419,0.350124
0.593762,0.350524
0.594095,0.350944
0.594447,0.351344
0.594778,0.351749
0.595108,0.352169
0.595458,0.352569
0.595792,0.352969
0.596121,0.353369
0.596448,0.353769
0.596775,0.354169
0.597122,0.354557
0.597447,0.354957
0.597792,0.355337
0.598122,0.355737
0.598446,0.356137
0.598769,0.356537
0.599091,0.356937
0.599433,0.357317
0.599754,0.357717
0.600075,0.358117
0.600395,0.358517
0.600734,0.358907
0.601053,0.359302
0.601371,0.359702
0.601708,0.360092
0.602024,0.360487
0.602348,0.360877
0.602676,0.361274
0.603002,0.361674
0.603332,0.362061
0.603669,0.362445
0.603992,0.362845
0.604308,0.363239
0.604632,0.363618
0.604963,0.363998
0.605273,0.364398
0.605573,0.364782
0.605898,0.365163
0.606206,0.365553
0.606519,0.365938
0.606846,0.366325
0.607163,0.366715
0.607493,0.367095
0.607803,0.367475
0.608128,0.367855
0.608451,0.36825
0.608754,0.36865
0.609057,0.36904
0.609379,0.36942
0.60968,0.36982
0.609986,0.3702
0.610306,0.37058
0.61064,0.37096
0.610944,0.37134
0.611242,0.37174
0.611559,0.372115
0.611856,0.372495
0.612178,0.372875
0.612493,0.373255
0.612788,0.373615
0.613093,0.373995
0.613407,0.374375
0.61372,0.374755
0.614013,0.375136
0.614329,0.37551
0.614638,0.375886
0.614943,0.376262
0.615248,0.376642
0.615552,0.377013
0.615859,0.377393
0.616165,0.377773
0.61647,0.378153
0.616766,0.378528
0.617072,0.378898
0.617372,0.379274
0.617666,0.379646
0.617975,0.380017
0.618275,0.380393
0.618575,0.380767
0.618877,0.381142
0.619173,0.38151
0.619477,0.381878
0.619774,0.382246
0.620064,0.382621
0.620365,0.382996
0.620666,0.383382
0.620964,0.383746
0.621264,0.384116
0.621572,0.384496
0.621869,0.384866
0.622165,0.385246
0.622477,0.385614
0.622774,0.385994
0.623062,0.386364
0.623341,0.386724
0.623635,0.387084
0.623927,0.387464
0.624239,0.387824
0.624531,0.388184
0.624822,0.388544
0.625117,0.388924
0.625407,0.389304
0.625701,0.389664
0.62598,0.390044
0.626288,0.390404
0.626575,0.390769
0.626882,0.391129
0.627179,0.391509
0.627444,0.391884
0.627749,0.392244
0.628034,0.392604
0.628318,0.392964
0.628601,0.393329
0.62889,0.393689
0.629176,0.394042
0.629452,0.394409
0.629737,0.394774
0.630038,0.395134
0.630337,0.395494
0.630617,0.395854
0.630896,0.396219
0.631174,0.396579
0.631471,0.396939
0.631748,0.397304
0.632041,0.397664
0.632317,0.398024
0.63259,0.398384
0.632872,0.398744
0.63315,0.399104
0.633426,0.399456
0.633709,0.399811
0.633997,0.400167
0.634279,0.400527
0.634563,0.400887
0.63485,0.401237
0.63512,0.401595
0.635395,0.401954
0.635676,0.402301
0.635945,0.402661
0.636232,0.40302
0.636505,0.403372
0.636791,0.403732
0.637058,0.404092
0.637329,0.404442
0.637614,0.404802
0.637891,0.405162
0.638165,0.405522
0.638448,0.405882
0.638731,0.406227
0.639014,0.406577
0.639276,0.406917
0.639557,0.407277
0.639818,0.407637
0.640098,0.407977
0.640373,0.408317
0.640653,0.408677
0.640911,0.409017
0.641195,0.409377
0.641452,0.409717
0.641709,0.410067
0.641986,0.410427
0.64226,0.410772
0.642523,0.411114
0.642798,0.411451
0.643063,0.411798
0.643325,0.412148
0.643601,0.412508
0.643874,0.412853
0.644146,0.413193
0.644418,0.413533
0.644669,0.413873
0.64495,0.414213
0.6452,0.414563
0.645464,0.414903
0.645733,0.415263
0.646002,0.415603
0.646265,0.415948
0.646512,0.416288
0.646779,0.416628
0.647046,0.416968
0.647312,0.417308
0.647577,0.417648
0.647842,0.417988
0.648107,0.418328
0.648375,0.418666
0.648619,0.419006
0.648881,0.419346
0.649144,0.419686
0.649385,0.420026
0.649652,0.420366
0.649912,0.420706
0.650192,0.421046
0.650452,0.421386
0.650711,0.421726
0.65095,0.422063
0.651213,0.422398
0.651471,0.422738
0.651748,0.423073
0.651984,0.423413
0.65224,0.423733
0.652496,0.424073
0.652751,0.424393
0.653005,0.424733
0.653259,0.425073
0.653513,0.425408
0.653766,0.425748
0.654038,0.426088
0.6543,0.426423
0.654566,0.426763
0.654812,0.427103
0.655062,0.427443
0.655312,0.427783
0.655562,0.428113
0.655818,0.428453
0.656072,0.428783
0.656327,0.429123
0.656575,0.429443
0.656837,0.42977
0.657073,0.43011
0.657319,0.43043
0.657564,0.43075
0.657816,0.431076
0.658069,0.431413
0.658321,0.431742
0.658569,0.432072
0.658833,0.432401
0.659085,0.432731
0.659341,0.433063
0.659585,0.433388
0.659825,0.433708
0.660076,0.434028
0.660316,0.434363
0.660555,0.434703
0.660805,0.435023
0.661048,0.435351
0.661302,0.435679
0.66156,0.436019
0.661806,0.436339
0.662042,0.436659
0.662278,0.436979
0.662533,0.437309
0.662788,0.437649
0.663028,0.437969
0.663262,0.438309
0.66352,0.438629
0.663753,0.438949
0.664006,0.439269
0.664238,0.439589
0.664469,0.439914
0.66471,0.440234
0.664961,0.440554
0.665191,0.440874
0.66544,0.441194
0.665689,0.441534
0.665938,0.441854
0.666186,0.442194
0.666419,0.442514
0.666656,0.442834
0.666913,0.443154
0.667159,0.443474
0.667389,0.443814
0.667635,0.444134
0.667879,0.444454
0.668108,0.444774
0.668352,0.445094
0.668586,0.445414
0.668808,0.445734
0.669051,0.446034
0.669273,0.446354
0.669514,0.446674
0.669755,0.446974
0.669996,0.447294
0.670216,0.447614
